Year,Units,Major_roads:motorways,major_roads:Rural_A_roads,major_roads:Urban_A_roads,minor_roads:Rural,minor_roads:Urban,All_roads,Major_roads:All_A_roads,All_major_roads,All_minor_roads
1950-01-01,Billion vehicle miles,,,,,,33,,,
1955-01-01,Billion vehicle miles,,,,,,47.8,,,
1960-01-01,Billion vehicle miles,0.4,19.8,20.4,12.4,16.8,69.8,40.1,40.6,29.2
1965-01-01,Billion vehicle miles,2.4,27.1,29.6,,,101.1,56.7,59.1,42
1970-01-01,Billion vehicle miles,5.9,32.2,35,,,124.6,67.2,73.1,51.4
1975-01-01,Billion vehicle miles,13.6,37.3,36.8,23.5,32.8,144,74.1,87.7,56.3
1980-01-01,Billion vehicle miles,18.3,43.4,40.2,24.2,42.9,169,83.6,101.8,67.2
1985-01-01,Billion vehicle miles,23.6,53.9,41.3,27,46.7,192.4,95.2,118.8,73.6
1990-01-01,Billion vehicle miles,38.3,71.3,48.7,32.1,64.9,255.3,120,158.3,97
1991-01-01,Billion vehicle miles,37.9,72.7,49.3,31.5,64.2,255.8,122.1,159.9,95.8
1992-01-01,Billion vehicle miles,38.2,72.7,49.4,30.9,64.9,256.1,122.1,160.3,95.8
1993-01-01,Billion vehicle miles,39.7,73.4,48.5,28.3,66.3,256.1,121.9,161.6,94.6
1993-01-01,Billion vehicle miles,42.4,70.4,48,34.8,60.6,256.2,118.5,160.8,95.4
1994-01-01,Billion vehicle miles,44,72.4,48.8,35.8,61,261.9,121.2,165.2,96.8
1994-12-01,Billion vehicle miles,44,72.4,48.8,35.8,61,261.9,,,
1995-01-01,Billion vehicle miles,45.9,74.3,49.7,35.9,61.2,267,124,169.9,97.1
1995-03-01,Billion vehicle miles,44.4,72.9,49,35.8,61.1,263.2,,,
1995-06-01,Billion vehicle miles,45,73.5,49.3,35.7,61.2,264.7,,,
1995-09-01,Billion vehicle miles,45.5,74,49.6,35.9,61.2,266.1,,,
1995-12-01,Billion vehicle miles,45.9,74.3,49.7,35.9,61.2,267,,,
1996-01-01,Billion vehicle miles,48.6,76.7,50.3,36.6,61.9,274.1,127,175.6,98.5
